X(m),Y(m),GravityAnomaly(mGal)
7.142857142857143344e+02,3.214285714285714675e+03,-4.779019016386362395e+00
7.142857142857143344e+02,3.571428571428571558e+03,-3.770236540149277005e+00
7.142857142857143344e+02,3.928571428571428896e+03,-2.318639837355724875e+00
7.142857142857143344e+02,4.285714285714286234e+03,-4.013438346349632035e-01
7.142857142857143344e+02,4.642857142857143117e+03,-1.410231324491788563e-01
7.142857142857143344e+02,5.000000000000000000e+03,-7.241864897790634137e-02
1.071428571428571558e+03,0.000000000000000000e+00,-6.513845722310868114e-04
1.071428571428571558e+03,3.571428571428571672e+02,-7.904360418574221669e-02
1.071428571428571558e+03,7.142857142857143344e+02,-2.212478603287257872e+00
1.071428571428571558e+03,1.071428571428571558e+03,-4.190204764358528955e+00
1.071428571428571558e+03,1.428571428571428669e+03,-5.465520692443817552e+00
1.071428571428571558e+03,1.785714285714285779e+03,-6.362758432563625277e+00
1.071428571428571558e+03,2.142857142857143117e+03,-6.759237773025439822e+00
1.071428571428571558e+03,2.500000000000000000e+03,-6.862267893644860450e+00
1.071428571428571558e+03,2.857142857142857338e+03,-6.679189305551637368e+00
1.071428571428571558e+03,3.214285714285714675e+03,-6.315123849463561534e+00
1.071428571428571558e+03,3.571428571428571558e+03,-5.482128688592529997e+00
1.071428571428571558e+03,3.928571428571428896e+03,-4.214098280529984031e+00
1.071428571428571558e+03,4.285714285714286234e+03,-2.277925704576854837e+00
1.071428571428571558e+03,4.642857142857143117e+03,-7.840065374323583469e-02
1.071428571428571558e+03,5.000000000000000000e+03,-6.244456344464548864e-02
1.428571428571428669e+03,0.000000000000000000e+00,-1.281374373391806487e-01
1.428571428571428669e+03,3.571428571428571672e+02,-1.157711433216481289e+00
1.428571428571428669e+03,7.142857142857143344e+02,-3.819807802189962409e+00
1.428571428571428669e+03,1.071428571428571558e+03,-5.559471673456132912e+00
1.428571428571428669e+03,1.428571428571428669e+03,-6.636834342203577819e+00
1.428571428571428669e+03,1.785714285714285779e+03,-7.173601410388082300e+00
1.428571428571428669e+03,2.142857142857143117e+03,-7.484991031430338282e+00
1.428571428571428669e+03,2.500000000000000000e+03,-7.547532514293421535e+00
1.428571428571428669e+03,2.857142857142857338e+03,-7.507005172320257103e+00
1.428571428571428669e+03,3.214285714285714675e+03,-7.167738412480384902e+00
1.428571428571428669e+03,3.571428571428571558e+03,-6.603363115998266863e+00
1.428571428571428669e+03,3.928571428571428896e+03,-5.556670038510490350e+00
1.428571428571428669e+03,4.285714285714286234e+03,-3.766016195142992462e+00
1.428571428571428669e+03,4.642857142857143117e+03,-1.258847955057774914e+00
1.428571428571428669e+03,5.000000000000000000e+03,-9.820694455571171710e-02
1.785714285714285779e+03,0.000000000000000000e+00,-6.696660190669953550e-02
1.785714285714285779e+03,3.571428571428571672e+02,-2.449463806215154360e+00
1.785714285714285779e+03,7.142857142857143344e+02,-4.821644200171657957e+00
1.785714285714285779e+03,1.071428571428571558e+03,-6.287030679036325509e+00
1.785714285714285779e+03,1.428571428571428669e+03,-7.221871533897791018e+00
1.785714285714285779e+03,1.785714285714285779e+03,-7.652201219522123843e+00
1.785714285714285779e+03,2.142857142857143117e+03,-7.910440900147658105e+00
1.785714285714285779e+03,2.500000000000000000e+03,-7.946085543576837829e+00
1.785714285714285779e+03,2.857142857142857338e+03,-7.903766867354391934e+00
1.785714285714285779e+03,3.214285714285714675e+03,-7.709633090338686934e+00
1.785714285714285779e+03,3.571428571428571558e+03,-7.261997695275711706e+00
1.785714285714285779e+03,3.928571428571428896e+03,-6.382908994015562776e+00
1.785714285714285779e+03,4.285714285714286234e+03,-4.752661858328434796e+00
1.785714285714285779e+03,4.642857142857143117e+03,-2.466596387685976222e+00
1.785714285714285779e+03,5.000000000000000000e+03,-7.389602924731342171e-02
2.142857142857143117e+03,0.000000000000000000e+00,-2.998369709651162451e-01
2.142857142857143117e+03,3.571428571428571672e+02,-3.104139241565850416e+00
2.142857142857143117e+03,7.142857142857143344e+02,-5.362686715195025933e+00
2.142857142857143117e+03,1.071428571428571558e+03,-6.734515853036215027e+00
2.142857142857143117e+03,1.428571428571428669e+03,-7.470930929124499187e+00
2.142857142857143117e+03,1.785714285714285779e+03,-7.890509935864680635e+00
2.142857142857143117e+03,2.142857142857143117e+03,-8.008759856323942827e+00
2.142857142857143117e+03,2.500000000000000000e+03,-8.045944513455465241e+00
2.142857142857143117e+03,2.857142857142857338e+03,-8.021253409048281213e+00
2.142857142857143117e+03,3.214285714285714675e+03,-7.888702199277771498e+00
2.142857142857143117e+03,3.571428571428571558e+03,-7.471322691621761436e+00
2.142857142857143117e+03,3.928571428571428896e+03,-6.788833729721209131e+00
2.142857142857143117e+03,4.285714285714286234e+03,-5.382416946675232516e+00
2.142857142857143117e+03,4.642857142857143117e+03,-3.129571618259468391e+00
2.142857142857143117e+03,5.000000000000000000e+03,-2.578822398518724190e-01
2.500000000000000000e+03,0.000000000000000000e+00,-4.281081727253589486e-01
2.500000000000000000e+03,3.571428571428571672e+02,-3.312031862372795565e+00
2.500000000000000000e+03,7.142857142857143344e+02,-5.504402844673772499e+00
2.500000000000000000e+03,1.071428571428571558e+03,-6.854689318257046970e+00
2.500000000000000000e+03,1.428571428571428669e+03,-7.575173396801393899e+00
2.500000000000000000e+03,1.785714285714285779e+03,-7.901246217056406174e+00
2.500000000000000000e+03,2.142857142857143117e+03,-8.060664429541882114e+00
2.500000000000000000e+03,2.500000000000000000e+03,-8.048638511793301475e+00
2.500000000000000000e+03,2.857142857142857338e+03,-8.027805740199786655e+00
2.500000000000000000e+03,3.214285714285714675e+03,-7.928651228944410434e+00
2.500000000000000000e+03,3.571428571428571558e+03,-7.638212201826188874e+00
2.500000000000000000e+03,3.928571428571428896e+03,-6.829553510023631091e+00
2.500000000000000000e+03,4.285714285714286234e+03,-5.516713437260862385e+00
2.500000000000000000e+03,4.642857142857143117e+03,-3.304399533520167687e+00
2.500000000000000000e+03,5.000000000000000000e+03,-4.481756999417573217e-01
2.857142857142857338e+03,0.000000000000000000e+00,-2.470944993572270487e-01
2.857142857142857338e+03,3.571428571428571672e+02,-3.140228814754774778e+00
2.857142857142857338e+03,7.142857142857143344e+02,-5.342749302399723454e+00
2.857142857142857338e+03,1.071428571428571558e+03,-6.748951188150376979e+00
2.857142857142857338e+03,1.428571428571428669e+03,-7.502353546245646321e+00
2.857142857142857338e+03,1.785714285714285779e+03,-7.829140370368109281e+00
2.857142857142857338e+03,2.142857142857143117e+03,-8.044183102833853738e+00
2.857142857142857338e+03,2.500000000000000000e+03,-8.025707903057114123e+00
2.857142857142857338e+03,2.857142857142857338e+03,-7.984044217256896836e+00
2.857142857142857338e+03,3.214285714285714675e+03,-7.842801427641670209e+00
2.857142857142857338e+03,3.571428571428571558e+03,-7.481255364379784112e+00
2.857142857142857338e+03,3.928571428571428896e+03,-6.743226650545325107e+00
2.857142857142857338e+03,4.285714285714286234e+03,-5.350634540550682772e+00
2.857142857142857338e+03,4.642857142857143117e+03,-3.142943812184960439e+00
2.857142857142857338e+03,5.000000000000000000e+03,-2.266818257506301171e-01
3.214285714285714675e+03,0.000000000000000000e+00,-1.044741659929418892e-01
3.214285714285714675e+03,3.571428571428571672e+02,-2.479789869403131064e+00
