x,y,gz_obs
-1500.0,-1000.0,0.0014089292994099608
-1500.0,-948.7179487179487,0.002627887243381853
-1500.0,-897.4358974358975,0.0034017477504671616
-1500.0,-846.1538461538462,0.003861374774847092
-1500.0,-794.8717948717949,0.0036792460187706163
-1500.0,-743.5897435897436,0.003808566562479823
-1500.0,-692.3076923076923,0.004280849064370069
-1500.0,-641.025641025641,0.004181611795547316
-1500.0,-589.7435897435897,0.0038299131683946505
-1500.0,-538.4615384615385,0.003434724388454584
-1500.0,-487.1794871794872,0.0025256882545238455
-1500.0,-435.8974358974359,0.0023147497635681528
-1500.0,-384.6153846153845,0.002353861801953979
-1500.0,-333.33333333333326,0.0017680407042181944
-1500.0,-282.051282051282,0.00155303153164906
-1500.0,-230.76923076923072,0.0014895352340471262
-1500.0,-179.48717948717945,0.0011836351924189596
-1500.0,-128.20512820512818,0.0013315367755856958
-1500.0,-76.9230769230769,0.0010301540290677032
-1500.0,-25.641025641025635,0.0009065300602984834
-1500.0,25.641025641025635,0.001482120554349874
-1500.0,76.9230769230769,0.0011666035840746374
-1500.0,128.20512820512818,0.0012821929500042228
-1500.0,179.48717948717945,0.0011012517792431376
-1500.0,230.76923076923094,0.0014931161949902959
-1500.0,282.0512820512822,0.0019201996160936197
-1500.0,333.3333333333335,0.001920498037665277
-1500.0,384.61538461538476,0.002380608951309929
-1500.0,435.897435897436,0.0022877679762984384
-1500.0,487.1794871794873,0.0025600330431276726
-1500.0,538.4615384615386,0.003205871057291501
-1500.0,589.7435897435898,0.004294263682483437
-1500.0,641.0256410256411,0.004025425404769161
-1500.0,692.3076923076924,0.003753464315477405
-1500.0,743.5897435897436,0.0040199029362903
-1500.0,794.8717948717949,0.003481907963721109
-1500.0,846.1538461538462,0.003598541522566434
-1500.0,897.4358974358975,0.0028802760180710596
-1500.0,948.7179487179487,0.0023899028938363866
-1500.0,1000.0,0.0013489587159815609
-1449.1525423728813,-1000.0,0.002767923758637292
-1449.1525423728813,-948.7179487179487,0.004869437260143798
-1449.1525423728813,-897.4358974358975,0.005751298730391654
-1449.1525423728813,-846.1538461538462,0.006117632081882532
-1449.1525423728813,-794.8717948717949,0.006110989738544633
-1449.1525423728813,-743.5897435897436,0.006425149726138366
-1449.1525423728813,-692.3076923076923,0.006580547273212911
-1449.1525423728813,-641.025641025641,0.0068158260899655425
-1449.1525423728813,-589.7435897435897,0.006150681319965355
-1449.1525423728813,-538.4615384615385,0.004603828531222794
-1449.1525423728813,-487.1794871794872,0.0039168840005551755
-1449.1525423728813,-435.8974358974359,0.0033957535975747766
-1449.1525423728813,-384.6153846153845,0.0030816818595537374
-1449.1525423728813,-333.33333333333326,0.003041913421619165
-1449.1525423728813,-282.051282051282,0.0027517839037506206
-1449.1525423728813,-230.76923076923072,0.002326191467287267
-1449.1525423728813,-179.48717948717945,0.0016711736181957845
-1449.1525423728813,-128.20512820512818,0.0016031703495343207
-1449.1525423728813,-76.9230769230769,0.0016422354102353074
-1449.1525423728813,-25.641025641025635,0.0017344493978771536
-1449.1525423728813,25.641025641025635,0.0014435055248836282
-1449.1525423728813,76.9230769230769,0.001538850928621857
-1449.1525423728813,128.20512820512818,0.0014437458299033418
-1449.1525423728813,179.48717948717945,0.001599775798024166
-1449.1525423728813,230.76923076923094,0.0023024406079428955
-1449.1525423728813,282.0512820512822,0.002816832004965606
-1449.1525423728813,333.3333333333335,0.0029051761395349146
-1449.1525423728813,384.61538461538476,0.0034177728391933332
-1449.1525423728813,435.897435897436,0.003545097258667548
-1449.1525423728813,487.1794871794873,0.0037230432557551966
-1449.1525423728813,538.4615384615386,0.00502871568339704
-1449.1525423728813,589.7435897435898,0.0063895649753448495
-1449.1525423728813,641.0256410256411,0.006597236436899737
-1449.1525423728813,692.3076923076924,0.006985603758567657
-1449.1525423728813,743.5897435897436,0.00604516954699934
-1449.1525423728813,794.8717948717949,0.006571074637493188
-1449.1525423728813,846.1538461538462,0.006195262234648024
-1449.1525423728813,897.4358974358975,0.005714626916776139
-1449.1525423728813,948.7179487179487,0.004853515759212877
-1449.1525423728813,1000.0,0.0022227166597179964
-1398.3050847457628,-1000.0,0.0031568627720643424
-1398.3050847457628,-948.7179487179487,0.005811733490058921
-1398.3050847457628,-897.4358974358975,0.007155001414219604
-1398.3050847457628,-846.1538461538462,0.007249072194176586
-1398.3050847457628,-794.8717948717949,0.007468085117091472
-1398.3050847457628,-743.5897435897436,0.007697823089009915
-1398.3050847457628,-692.3076923076923,0.007981549372233254
-1398.3050847457628,-641.025641025641,0.007451035582683181
-1398.3050847457628,-589.7435897435897,0.006028876625286836
-1398.3050847457628,-538.4615384615385,0.005058841495248732
-1398.3050847457628,-487.1794871794872,0.0043057728221143655
-1398.3050847457628,-435.8974358974359,0.0040895119905755214
-1398.3050847457628,-384.6153846153845,0.003354967150121971
-1398.3050847457628,-333.33333333333326,0.0030170339898610314
-1398.3050847457628,-282.051282051282,0.0026013679339866097
-1398.3050847457628,-230.76923076923072,0.0019976126085965613
-1398.3050847457628,-179.48717948717945,0.0020400013465510743
-1398.3050847457628,-128.20512820512818,0.0018304343027712555
-1398.3050847457628,-76.9230769230769,0.0016665347065965995
-1398.3050847457628,-25.641025641025635,0.0015702794687810508
-1398.3050847457628,25.641025641025635,0.0013341227470459864
-1398.3050847457628,76.9230769230769,0.001581382950715048
-1398.3050847457628,128.20512820512818,0.0017096803450299385
-1398.3050847457628,179.48717948717945,0.0018203218372938245
-1398.3050847457628,230.76923076923094,0.002258058455889802
-1398.3050847457628,282.0512820512822,0.0027605997359759354
-1398.3050847457628,333.3333333333335,0.003459803599422665
-1398.3050847457628,384.61538461538476,0.0035302933314638177
-1398.3050847457628,435.897435897436,0.0039472930706135065
-1398.3050847457628,487.1794871794873,0.00427146812909152
-1398.3050847457628,538.4615384615386,0.004572433765566263
-1398.3050847457628,589.7435897435898,0.006129525890950413
-1398.3050847457628,641.0256410256411,0.007397331402739401
-1398.3050847457628,692.3076923076924,0.008291117371189927
-1398.3050847457628,743.5897435897436,0.007759702304770603
-1398.3050847457628,794.8717948717949,0.007690093306136853
-1398.3050847457628,846.1538461538462,0.00734578388389021
-1398.3050847457628,897.4358974358975,0.006625686997747387
-1398.3050847457628,948.7179487179487,0.005968875538659546
-1398.3050847457628,1000.0,0.003351183756169189
-1347.457627118644,-1000.0,0.003595308158847055
-1347.457627118644,-948.7179487179487,0.0059117667444668065
-1347.457627118644,-897.4358974358975,0.007582207875941152
-1347.457627118644,-846.1538461538462,0.007571737113235342
-1347.457627118644,-794.8717948717949,0.00826493509349151
-1347.457627118644,-743.5897435897436,0.008680890860437836
-1347.457627118644,-692.3076923076923,0.007692794999819161
-1347.457627118644,-641.025641025641,0.0066837942026087204
-1347.457627118644,-589.7435897435897,0.005562928237110784
-1347.457627118644,-538.4615384615385,0.004537979513486341
-1347.457627118644,-487.1794871794872,0.0038172173289296838
-1347.457627118644,-435.8974358974359,0.0037329549211288803
-1347.457627118644,-384.6153846153845,0.0030701415119814162
-1347.457627118644,-333.33333333333326,0.0029464042927066247
-1347.457627118644,-282.051282051282,0.002283946968371145
-1347.457627118644,-230.76923076923072,0.002436152502740476
-1347.457627118644,-179.48717948717945,0.0016868426578564547
-1347.457627118644,-128.20512820512818,0.001576565738449435
-1347.457627118644,-76.9230769230769,0.0016825410856354114
-1347.457627118644,-25.641025641025635,0.001219371783496936
-1347.457627118644,25.641025641025635,0.0015110366337045733
-1347.457627118644,76.9230769230769,0.0017812661930179782
-1347.457627118644,128.20512820512818,0.0013194813947783094
-1347.457627118644,179.48717948717945,0.0018804200880301418
-1347.457627118644,230.76923076923094,0.0021781421805866785
-1347.457627118644,282.0512820512822,0.0026241963895733576
-1347.457627118644,333.3333333333335,0.002604295664403969
-1347.457627118644,384.61538461538476,0.0030185109321098063
-1347.457627118644,435.897435897436,0.0038236306392910625
-1347.457627118644,487.1794871794873,0.0041867469497895585
-1347.457627118644,538.4615384615386,0.00468877321437872
-1347.457627118644,589.7435897435898,0.005612287605992667
-1347.457627118644,641.0256410256411,0.006661048804213586
-1347.457627118644,692.3076923076924,0.00793735300427744
-1347.457627118644,743.5897435897436,0.008301414229935595
-1347.457627118644,794.8717948717949,0.00800469339112626
-1347.457627118644,846.1538461538462,0.008225262228022683
-1347.457627118644,897.4358974358975,0.007396415597936295
-1347.457627118644,948.7179487179487,0.0058553835359852
-1347.457627118644,1000.0,0.003568412491165219
-1296.6101694915255,-1000.0,0.0033474874444133825
-1296.6101694915255,-948.7179487179487,0.006411564637590796
-1296.6101694915255,-897.4358974358975,0.0077419682308313914
-1296.6101694915255,-846.1538461538462,0.007919965320036972
-1296.6101694915255,-794.8717948717949,0.008516014292249189
-1296.6101694915255,-743.5897435897436,0.0081964250185771
-1296.6101694915255,-692.3076923076923,0.007426487232482983
-1296.6101694915255,-641.025641025641,0.006230706309849235
-1296.6101694915255,-589.7435897435897,0.004851579848171893
-1296.6101694915255,-538.4615384615385,0.004090710314865679
-1296.6101694915255,-487.1794871794872,0.0035297882612565336
-1296.6101694915255,-435.8974358974359,0.0031062057851439237
-1296.6101694915255,-384.6153846153845,0.002843738822935247
-1296.6101694915255,-333.33333333333326,0.0025331792244561568
-1296.6101694915255,-282.051282051282,0.0021635622071081973
-1296.6101694915255,-230.76923076923072,0.001964521716320901
-1296.6101694915255,-179.48717948717945,0.0015480403423905715
-1296.6101694915255,-128.20512820512818,0.0016489794927464978
-1296.6101694915255,-76.9230769230769,0.0011881001336323893
-1296.6101694915255,-25.641025641025635,0.0017304015694128076
-1296.6101694915255,25.641025641025635,0.0013115012056478764
-1296.6101694915255,76.9230769230769,0.0010695999889967145
-1296.6101694915255,128.20512820512818,0.0011440941777027995
-1296.6101694915255,179.48717948717945,0.0016419344470636251
-1296.6101694915255,230.76923076923094,0.0017543925094485485
-1296.6101694915255,282.0512820512822,0.002251024146060597
-1296.6101694915255,333.3333333333335,0.002559596354407556
-1296.6101694915255,384.61538461538476,0.00284459338228671
-1296.6101694915255,435.897435897436,0.0031000090985233686
-1296.6101694915255,487.1794871794873,0.0034047217022444495
-1296.6101694915255,538.4615384615386,0.004152154557323768
