X(m),Y(m),GravityAnomaly(mGal)
6.896551724137931387e+02,2.586206896551724185e+03,-5.383166480238579688e+00
6.896551724137931387e+02,2.758620689655172555e+03,-5.269344190334591005e+00
6.896551724137931387e+02,2.931034482758620925e+03,-5.163558085671722253e+00
6.896551724137931387e+02,3.103448275862069295e+03,-4.897862128102592472e+00
6.896551724137931387e+02,3.275862068965517210e+03,-4.475691811761354444e+00
6.896551724137931387e+02,3.448275862068965580e+03,-3.986626112581746373e+00
6.896551724137931387e+02,3.620689655172413950e+03,-3.433668631605545585e+00
6.896551724137931387e+02,3.793103448275862320e+03,-2.692569086107468035e+00
6.896551724137931387e+02,3.965517241379310690e+03,-1.883641751476218706e+00
6.896551724137931387e+02,4.137931034482759060e+03,-5.665649640996774927e-01
6.896551724137931387e+02,4.310344827586207430e+03,-1.369809484990942017e-01
6.896551724137931387e+02,4.482758620689655800e+03,-9.515335302555742725e-02
6.896551724137931387e+02,4.655172413793103260e+03,-2.289967244742451002e-02
6.896551724137931387e+02,4.827586206896551630e+03,-8.059526548670718771e-02
6.896551724137931387e+02,5.000000000000000000e+03,-2.440919953986505839e-02
8.620689655172413950e+02,0.000000000000000000e+00,-2.987483223202247462e-02
8.620689655172413950e+02,1.724137931034482847e+02,-8.265625461209950842e-02
8.620689655172413950e+02,3.448275862068965694e+02,-9.050629471295476569e-02
8.620689655172413950e+02,5.172413793103448825e+02,-1.611031525860787683e-01
8.620689655172413950e+02,6.896551724137931387e+02,-5.020091039022543944e-01
8.620689655172413950e+02,8.620689655172413950e+02,-1.822921956149601730e+00
8.620689655172413950e+02,1.034482758620689765e+03,-2.801313578303775920e+00
8.620689655172413950e+02,1.206896551724137908e+03,-3.761765012731921320e+00
8.620689655172413950e+02,1.379310344827586277e+03,-4.494938147713217980e+00
8.620689655172413950e+02,1.551724137931034647e+03,-4.966314698321594001e+00
8.620689655172413950e+02,1.724137931034482790e+03,-5.384068269994713773e+00
8.620689655172413950e+02,1.896551724137931160e+03,-5.689376886834925706e+00
8.620689655172413950e+02,2.068965517241379530e+03,-5.928784621327962689e+00
8.620689655172413950e+02,2.241379310344827900e+03,-6.161169115430967125e+00
8.620689655172413950e+02,2.413793103448275815e+03,-6.176862453176868328e+00
8.620689655172413950e+02,2.586206896551724185e+03,-6.145708331963283477e+00
8.620689655172413950e+02,2.758620689655172555e+03,-6.050256838179356222e+00
8.620689655172413950e+02,2.931034482758620925e+03,-5.897583867428825677e+00
8.620689655172413950e+02,3.103448275862069295e+03,-5.750154487645561474e+00
8.620689655172413950e+02,3.275862068965517210e+03,-5.417255203568911881e+00
8.620689655172413950e+02,3.448275862068965580e+03,-4.920888338286494523e+00
8.620689655172413950e+02,3.620689655172413950e+03,-4.376105338365531949e+00
8.620689655172413950e+02,3.793103448275862320e+03,-3.766286788737689850e+00
8.620689655172413950e+02,3.965517241379310690e+03,-2.895329457893647263e+00
8.620689655172413950e+02,4.137931034482759060e+03,-1.809374813396006587e+00
8.620689655172413950e+02,4.310344827586207430e+03,-5.735701842059298672e-01
8.620689655172413950e+02,4.482758620689655800e+03,-1.209078774555904234e-01
8.620689655172413950e+02,4.655172413793103260e+03,-1.183648217413537373e-01
8.620689655172413950e+02,4.827586206896551630e+03,-7.415082391952464158e-02
8.620689655172413950e+02,5.000000000000000000e+03,-6.233398643732665501e-02
1.034482758620689765e+03,0.000000000000000000e+00,-3.215356328221549709e-02
1.034482758620689765e+03,1.724137931034482847e+02,-6.983997241424100277e-02
1.034482758620689765e+03,3.448275862068965694e+02,-1.212640152010003858e-01
1.034482758620689765e+03,5.172413793103448825e+02,-8.419315105596572035e-01
1.034482758620689765e+03,6.896551724137931387e+02,-1.790526094026906323e+00
1.034482758620689765e+03,8.620689655172413950e+02,-2.915807728109494512e+00
1.034482758620689765e+03,1.034482758620689765e+03,-3.867700945206343111e+00
1.034482758620689765e+03,1.206896551724137908e+03,-4.603715991215298509e+00
1.034482758620689765e+03,1.379310344827586277e+03,-5.234702394038920126e+00
1.034482758620689765e+03,1.551724137931034647e+03,-5.747862411955403594e+00
1.034482758620689765e+03,1.724137931034482790e+03,-6.122754424411628982e+00
1.034482758620689765e+03,1.896551724137931160e+03,-6.405812978430381222e+00
1.034482758620689765e+03,2.068965517241379530e+03,-6.533474283906618219e+00
1.034482758620689765e+03,2.241379310344827900e+03,-6.675534766949534848e+00
1.034482758620689765e+03,2.413793103448275815e+03,-6.714205608785190904e+00
1.034482758620689765e+03,2.586206896551724185e+03,-6.725600627492780426e+00
1.034482758620689765e+03,2.758620689655172555e+03,-6.687838625631038703e+00
1.034482758620689765e+03,2.931034482758620925e+03,-6.530223875385316568e+00
1.034482758620689765e+03,3.103448275862069295e+03,-6.382784178338445358e+00
